LidarMCplusplus.cpp output file:
Radius(m),0.15
FOV(rad),0.174533
a(m^-1),0.0550804
b(m^-1),0.599519
c(m^-1),0.6546
Junge,4
bulk ref index,(1.05,0.001)
#photons,10000000
distance,signal,co,cross,nScat,angleDet
0.683846,0.915856,0.775798,0.140059,1,0.096091
0.410866,0.838793,0.144994,0.693799,2,0.160887
0.528134,0.768214,0.248813,0.519401,3,0.106478
0.303507,0.838793,0.726073,0.11272,2,0.166353
0.481168,0.915856,0.458329,0.457528,1,0.154262
2.968,0.644372,0.318557,0.325815,5,0.0871919
0.0986567,0.915856,0.464729,0.451127,1,0.15455
0.492712,0.768214,0.246138,0.522076,3,0.11371
0.133045,0.915856,0.711595,0.204261,1,0.119657
0.859097,0.915856,0.482375,0.433482,1,0.152213
0.820514,0.838793,0.420989,0.417804,2,0.147506
0.348272,0.838793,0.414583,0.42421,2,0.146533
0.86331,0.915856,0.645602,0.270255,1,0.16669
1.139,0.915856,0.768106,0.147751,1,0.0627606
0.303608,0.915856,0.453247,0.462609,1,0.153823
0.0929507,0.915856,0.606273,0.309583,1,0.131025
0.68944,0.915856,0.896535,0.0193209,1,0.0726558
0.395429,0.915856,0.693513,0.222344,1,0.119377
0.73629,0.768214,0.408333,0.35988,3,0.0177327
1.4299,0.915856,0.549976,0.36588,1,0.0401121
0.805943,0.768214,0.331448,0.436766,3,0.0731346
0.378752,0.838793,0.318886,0.519907,2,0.124531
0.281436,0.915856,0.496418,0.419439,1,0.0535613
0.00503414,0.915856,0.902235,0.0136218,1,0.145606
0.0657479,0.915856,0.459979,0.455878,1,0.169537
0.0140806,0.915856,0.900609,0.0152474,1,0.0723884
0.306323,0.915856,0.45651,0.459346,1,0.0500795
0.422236,0.915856,0.718996,0.19686,1,0.119773
0.68215,0.915856,0.792848,0.123008,1,0.0964486
3.39246,0.644372,0.321615,0.322757,5,0.0934717
0.593168,0.915856,0.78648,0.129376,1,0.159237
1.60103,0.838793,0.66458,0.174213,2,0.109471
0.18537,0.838793,0.783215,0.0555781,2,0.142723
0.848942,0.703573,0.362592,0.340982,4,0.11949
1.13988,0.838793,0.31976,0.519033,2,0.111961
0.711498,0.838793,0.265811,0.572982,2,0.164476
1.61001,0.915856,0.84284,0.0730164,1,0.065244
0.615215,0.838793,0.766246,0.0725473,2,0.0845881
1.16436,0.915856,0.477888,0.437968,1,0.0523902
1.07003,0.768214,0.332142,0.436072,3,0.123781
1.9741,0.644372,0.286536,0.357836,5,0.145937
1.08152,0.915856,0.793114,0.122743,1,0.0273135
0.432422,0.915856,0.524007,0.39185,1,0.0907719
1.23274,0.768214,0.377871,0.390343,3,0.152408
3.90257,0.703573,0.332635,0.370938,4,0.173241
0.183384,0.915856,0.877864,0.0379923,1,0.163704
1.59125,0.768214,0.633693,0.13452,3,0.145163
0.669479,0.768214,0.387916,0.380297,3,0.109885
0.38606,0.915856,0.466536,0.449321,1,0.051427
0.110416,0.915856,0.548344,0.367512,1,0.0824142
0.133605,0.915856,0.599282,0.316575,1,0.167221
0.326373,0.915856,0.848466,0.0673909,1,0.0747629
0.749222,0.915856,0.57409,0.341766,1,0.156636
